
                             _AT:AT3 PI: PART-  _UT:UT3 PI: PART-  _VT:VT3 PI: PART-
                  X             1-1 N: 975_1       1-1 N: 975_1       1-1 N: 975_1  

              193.E-03          -211.614E-03        -37.9224E-06         1.52188E-03
              193.5E-03         -274.663E-03        -37.1907E-06         1.39986E-03
              194.E-03          -327.142E-03        -36.5274E-06         1.24888E-03
              194.5E-03         -367.368E-03        -35.9457E-06         1.07467E-03
              195.E-03          -394.297E-03        -35.4555E-06       883.638E-06  
              195.5E-03         -407.579E-03        -35.0637E-06       682.553E-06  
              196.E-03          -407.548E-03        -34.7735E-06       478.183E-06  
              196.5E-03         -395.167E-03        -34.585E-06        276.967E-06  
              197.E-03          -371.918E-03        -34.4951E-06        84.7304E-06 
              197.5E-03         -339.668E-03        -34.4979E-06       -93.5481E-06 
              198.E-03          -300.514E-03        -34.5856E-06      -253.885E-06  
              198.5E-03         -256.638E-03        -34.7483E-06      -393.374E-06  
              199.E-03          -210.171E-03        -34.9752E-06      -510.191E-06  
              199.5E-03         -163.09E-03         -35.2546E-06      -603.543E-06  
              200.E-03          -117.133E-03        -35.5749E-06      -673.568E-06  
              200.5E-03          -73.7529E-03       -35.9245E-06      -721.204E-06  
              201.E-03           -34.0781E-03       -36.2926E-06      -748.037E-06  
              201.5E-03            1.10702E-03      -36.6694E-06      -756.129E-06  
              202.E-03            31.3728E-03       -37.046E-06       -747.848E-06  
              202.5E-03           56.6453E-03       -37.4149E-06      -725.686E-06  
              203.E-03            77.1938E-03       -37.7698E-06      -692.087E-06  
              203.5E-03           93.5993E-03       -38.1055E-06      -649.279E-06  
              204.E-03           106.699E-03        -38.4178E-06      -599.133E-06  
              204.5E-03          117.504E-03        -38.7036E-06      -543.055E-06  
              205.E-03           127.094E-03        -38.9601E-06      -481.923E-06  
              205.5E-03          136.492E-03        -39.1847E-06      -416.083E-06  
              206.E-03           146.544E-03        -39.3753E-06      -345.411E-06  
              206.5E-03          157.803E-03        -39.5293E-06      -269.425E-06  
              207.E-03           170.453E-03        -39.6438E-06      -187.462E-06  
              207.5E-03          184.266E-03        -39.7156E-06       -98.8633E-06 
              208.E-03           198.612E-03        -39.7414E-06        -3.19078E-06
              208.5E-03          212.518E-03        -39.7176E-06        99.5919E-06 
              209.E-03           224.76E-03         -39.6407E-06       208.967E-06  
              209.5E-03          233.99E-03         -39.5078E-06       323.767E-06  
              210.E-03           238.861E-03        -39.3164E-06       442.148E-06  
              210.5E-03          238.156E-03        -39.0654E-06       561.617E-06  
              211.E-03           230.885E-03        -38.7551E-06       679.129E-06  
              211.5E-03          216.367E-03        -38.3872E-06       791.216E-06  
